City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Avarua,CK,80.65,broken clouds,-21.2078,-159.775,Paradise Inn
6,Rikitea,PF,79.32,light rain,-23.1203,-134.9692,People ThankYou
8,Cape Town,ZA,70.09,overcast clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
10,Bambous Virieux,MU,80.85,light intensity shower rain,-20.3428,57.7575,Casa Tia Villa
13,Bom Jesus Da Lapa,BR,71.78,broken clouds,-13.255,-43.4181,Hotel das Nações
15,Rawson,AR,80.89,broken clouds,-43.3002,-65.1023,Hosteria Sampedro
30,Kavieng,PG,81.23,light rain,-2.5744,150.7967,Nusa Island Retreat
31,Guerrero Negro,MX,76.39,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
33,Hilo,US,80.33,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
35,Sao Joao Da Barra,BR,74.05,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
36,Butaritari,KI,82.89,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
37,Lumut,MY,75.54,scattered clouds,4.2323,100.6298,"Marina Island Pangkor Resort & Hotel (Suites, Function Rooms and Convention Hall)"
40,Vallenar,CL,78.62,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
41,Vaini,TO,84.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
42,Fortuna,US,73.42,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
43,Cidreira,BR,75.29,few clouds,-30.1811,-50.2056,Hotel Castelo
46,Meulaboh,ID,77.2,overcast clouds,4.1363,96.1285,Kost Pria
48,Georgetown,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
52,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
53,Ewo,CG,80.2,broken clouds,-0.8725,14.8206,Residence Elonda Ewo
55,Viedma,AR,79.48,overcast clouds,-40.8135,-62.9967,Hotel Cristal
57,Saint-Philippe,RE,78.35,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
58,Carnarvon,AU,80.67,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
60,Salalah,OM,75.29,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
62,Kudahuvadhoo,MV,80.92,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
63,Broken Hill,AU,79.41,few clouds,-31.95,141.4333,Royal Exchange Hotel
65,Singkang,MY,71.78,scattered clouds,2.1006,102.7994,Kampung Seri Makmor Pagoh
66,Vila Velha,BR,75.15,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
67,Port Alfred,ZA,75.06,few clouds,-33.5906,26.891,The Halyards Hotel
69,Mount Gambier,AU,72.0,broken clouds,-37.8333,140.7667,The Commodore
70,Puerto Madryn,AR,77.05,broken clouds,-42.7692,-65.0385,Hotel Tolosa
