City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Masuguru,TZ,-11.3667,38.4167,71.69,99,100,3.74,light rain
1,Avarua,CK,-21.2078,-159.775,80.65,78,75,4.61,broken clouds
2,Saldanha,ZA,-33.0117,17.9442,65.53,88,96,13.96,overcast clouds
3,New Norfolk,AU,-42.7826,147.0587,63.75,57,99,4.72,overcast clouds
4,Kemijarvi,FI,66.7131,27.4306,-7.31,100,45,2.28,scattered clouds
5,Ribeira Grande,PT,38.5167,-28.7,61.3,88,100,15.64,overcast clouds
6,Rikitea,PF,-23.1203,-134.9692,79.32,69,1,18.16,light rain
7,Malinyi,TZ,-8.9333,36.1333,71.13,98,100,2.55,light rain
8,Cape Town,ZA,-33.9258,18.4232,70.09,78,100,4.0,overcast clouds
9,Jamestown,US,42.097,-79.2353,27.09,63,100,9.22,overcast clouds
10,Bambous Virieux,MU,-20.3428,57.7575,80.85,83,75,5.75,light intensity shower rain
11,Witbank,ZA,-25.8713,29.2332,59.95,49,16,3.71,few clouds
12,Punta Arenas,CL,-53.15,-70.9167,57.31,47,75,21.85,broken clouds
13,Bom Jesus Da Lapa,BR,-13.255,-43.4181,71.78,87,56,5.57,broken clouds
14,Garden City,US,42.3256,-83.331,22.89,62,100,11.5,overcast clouds
15,Rawson,AR,-43.3002,-65.1023,80.89,24,81,11.54,broken clouds
16,Albany,US,42.6001,-73.9662,39.07,63,50,1.99,scattered clouds
17,High Level,CA,58.5169,-117.136,5.11,85,100,14.97,snow
18,Shingu,JP,33.7333,135.9833,43.92,59,97,4.99,overcast clouds
19,Bluff,NZ,-46.6,168.3333,50.81,73,100,13.76,overcast clouds
20,Nanortalik,GL,60.1432,-45.2371,29.98,97,100,11.56,snow
21,Kodiak,US,57.79,-152.4072,40.51,60,0,8.05,clear sky
22,Susangerd,IR,31.5608,48.1831,57.34,58,10,4.18,clear sky
23,Hermanus,ZA,-34.4187,19.2345,68.9,81,100,3.65,overcast clouds
24,Mankachar,IN,25.5333,89.8667,60.1,68,0,5.17,clear sky
25,Ushuaia,AR,-54.8,-68.3,47.86,53,20,33.38,few clouds
26,Yellowknife,CA,62.456,-114.3525,-9.58,85,63,5.99,broken clouds
27,Radford,US,37.1318,-80.5764,56.48,52,75,6.91,broken clouds
